No.,FAM,ROD,DRUH,LOKALITA,STATE/PROV,ZEME,CMP,DEN_POC,MES_POC,ROK_POC,DEN_KON,MES_KON,ROK_KON,POCET_M,POCET_F,POCET_TOT,BIOTOP,METRU_OD,METRU_DO,METODA_SB,LEG,COLL,DET,ROK,REV,ROK,ZDROJ,POZN.,N/S,E/W
15726,Silphidae,Thanatophilus,sinuatus,Žabovřesky nad Ohří N env.,Bohemia,Czech Republic,5550,7,8,2005,13,8,2005,1,1,2,,270,,baited pitfall trap (fish),D. Král,D. Král,J. Růžička,2007,,,Sil9,,50°25´16´´ N,14°05´32´´E
14649,,Thanatophilus,sinuatus,"Jizerské hory mts., Nové Město pod Smrkem, U Kyselky",Bohemia,Czech Republic,5057,2,6,2006,21,6,2006,1,,1,"Ztracený potok valley, wetland, mixed forest",600,,yellow pan trap (NaCl solution),P. Vonička & J. Preisler,J. Růžička,J. Růžička,2008,,,PC,,,
18248,Silphidae,Thanatophilus,sinuatus,"Žabovřesky nad Ohří, N env. ",Bohemia,Czech Republic,5550,27,6,2006,12,7,2006,1,,1,"balk between fields, near the former sand pit",270,,baited pitfall trap No. 14 (fish meat),I. Rýzlerová,J. Růžička,J. Růžička,2009,,,PC,50°25.3’N 014°05.5’E,,
18249,Silphidae,Thanatophilus,sinuatus,"Žabovřesky nad Ohří, N env. ",Bohemia,Czech Republic,5550,12,6,2006,27,6,2006,1,,1,non-manured meadow near the former sand pit,270,,baited pitfall trap No. 4 (fish meat),I. Rýzlerová,J. Růžička,J. Růžička,2009,,,PC,50°25.3’N 014°05.5’E,,
18250,Silphidae,Thanatophilus,sinuatus,"Žabovřesky nad Ohří, N env. ",Bohemia,Czech Republic,5550,28,4,2006,14,5,2006,1,,1,non-manured meadow near the former sand pit,270,,baited pitfall trap No. 1 (fish meat),I. Rýzlerová,J. Růžička,J. Růžička,2009,,,PC,50°25.3’N 014°05.5’E,,
22250,Silphidae,Thanatophilus,sinuatus,"Žabovřesky nad Ohří, N env.",Bohemia,Czech Republic,5550,14,4,2006,28,4,2006,1,,1,"counry lane near field, trap No. 8",270,,baited pitfall traps (fish meat),I. Rýzlerová,J. Růžička,J. Růžička,2014,,,PC,,50°25.3’N 014°05.5’E,
22251,Silphidae,Thanatophilus,sinuatus,"Žabovřesky nad Ohří, N env.",Bohemia,Czech Republic,5550,14,4,2006,28,4,2006,,1,1,"counry lane near field, trap No. 9",270,,baited pitfall traps (fish meat),I. Rýzlerová,J. Růžička,J. Růžička,2014,,,PC,,50°25.3’N 014°05.5’E,
22252,Silphidae,Thanatophilus,sinuatus,"Žabovřesky nad Ohří, N env.",Bohemia,Czech Republic,5550,1,10,2006,17,10,2006,,1,1,"non-manured meadow near the former sand pit, trap No. 15",270,,baited pitfall traps (fish meat),I. Rýzlerová,J. Růžička,J. Růžička,2014,,,PC,,50°25.3’N 014°05.5’E,
22254,Silphidae,Thanatophilus,sinuatus,"Žabovřesky nad Ohří, N env.",Bohemia,Czech Republic,5550,27,6,2006,12,7,2006,,1,1,"non-manured meadow near the former sand pit, trap No. 20",270,,baited pitfall traps (fish meat),I. Rýzlerová,J. Růžička,J. Růžička,2014,,,PC,,50°25.3’N 014°05.5’E,
22256,Silphidae,Thanatophilus,sinuatus,"Žabovřesky nad Ohří, N env.",Bohemia,Czech Republic,5550,12,6,2006,28,6,2006,,1,1,"counry lane near field, trap No. 14",270,,baited pitfall traps (fish meat),I. Rýzlerová,J. Růžička,J. Růžička,2014,,,PC,,50°25.3’N 014°05.5’E,
22846,Silphidae,Thanatophilus,sinuatus,"Sušice, Čepičná Natural Reserve",Bohemia,Czech Republic,6747,1,5,2006,31,5,2006,,1,1,,,,,D. Sommer,D. Sommer (Sušice),D. Sommer,2006,J. Růžička,2015,PC,,49.27°N,13.58°E
22255,Silphidae,Thanatophilus,sinuatus,"Žabovřesky nad Ohří, N env.",Bohemia,Czech Republic,5550,12,6,2006,27,6,2006,1,1,2,"extensivelly manured meadow near the former sand pit, trap No. 3",270,,baited pitfall traps (fish meat),I. Rýzlerová,J. Růžička,J. Růžička,2014,,,PC,,50°25.3’N 014°05.5’E,
22257,Silphidae,Thanatophilus,sinuatus,"Žabovřesky nad Ohří, N env.",Bohemia,Czech Republic,5550,12,6,2006,28,6,2006,2,,2,"non-manured meadow near the former sand pit, trap No. 19",270,,baited pitfall traps (fish meat),I. Rýzlerová,J. Růžička,J. Růžička,2014,,,PC,,50°25.3’N 014°05.5’E,
22253,Silphidae,Thanatophilus,sinuatus,"Žabovřesky nad Ohří, N env.",Bohemia,Czech Republic,5550,28,4,2006,14,5,2006,,4,4,"non-manured meadow near the former sand pit, trap No. 19",270,,baited pitfall traps (fish meat),I. Rýzlerová,J. Růžička,J. Růžička,2014,,,PC,,50°25.3’N 014°05.5’E,
14332,,Thanatophilus,sinuatus,"Jizerské hory mts, Albrechtice v Jizerských horách, Křížek",Bohemia,Czech Republic,5257,3,7,2007,8,8,2007,2,,2,,,,unbaited pitfall traps,P. Vonička,J. Růžička,J. Růžička,2007,,,PC,,,
20605,Silphidae,Thanatophilus,sinuatus,Hradec nad Moravicí to Březov,Moravia,Czech Republic,6173,20,5,2009,30,5,2009,1,,1,forest,,,pheromone scolytid trap,L. Honč,Z. Malinka (Opava),J. Růžička,2012,,,PC,,,
22762,Silphidae,Thanatophilus,sinuatus,Plasy,Bohemia,Czech Republic,6046,3,5,2009,10,5,2009,1,,1,okolí domu 563,,,,M. Ouda,M. Ouda (Plasy),J. Růžička,2015,,,PC,,,
23033,Silphidae,Thanatophilus,sinuatus,Stráž nad Ohří-Osvinov,Bohemia,Czech Republic,5644,23,9,2014,7,10,2014,4,,4,meadow,550,650,baited trap - dead mouse,"Kadlec, Máslo, Mikátová",,P. Máslo,2015,,,PC,,50.3547°N,13.0311°E
